Standard I: Professionalism,I(C) Misrepresentation,Brutal (Above Exam),Omitting the High Risk label on a derivative product is?,Misrepresentation by omission,Simplification,Allowed for sophisticated clients,OptionA,Correct - Material risks must be disclosed to everyone
Standard I: Professionalism,I(C) Misrepresentation,Brutal (Above Exam),Describing a complex structured product as Guaranteed because it has a buffer is?,Misrepresentation,Marketing,Acceptable if the buffer is large,OptionA,Correct - Unless it is 100% guaranteed by a government or insurance calling it Guaranteed is a lie
Standard I: Professionalism,I(C) Misrepresentation,Brutal (Above Exam),Using a Composite of only top-performing accounts is?,Misrepresentation,GIPS compliant,Smart marketing,OptionA,Correct - Composites must include all eligible accounts not just winners
Standard I: Professionalism,I(C) Misrepresentation,Brutal (Above Exam),Failing to mention that a Model Portfolio does not include trading fees is?,Misrepresentation,Standard practice,Acceptable if fees are low,OptionA,Correct - Performance must be presented net of fees or disclosed otherwise
Standard I: Professionalism,I(C) Misrepresentation,Brutal (Above Exam),Copying a colleague's research model and presenting it as your own external work is?,Misrepresentation,Acceptable internal sharing,Teamwork,OptionA,Correct - While you can use firm models claiming sole credit for another's work is unethical
Standard I: Professionalism,I(C) Misrepresentation,Brutal (Above Exam),Stating that a fund Invests in Green Energy when it holds 50% Oil is?,Misrepresentation (Greenwashing),Diversification,Allowed if they plan to change,OptionA,Correct - The label must match the actual holdings
Standard I: Professionalism,I(D) Misconduct,Hard (Exam Level),Misconduct primarily covers?,Fraud - Deceit - and Dishonesty,Only illegal acts,Only investment actions,OptionA,Correct - It catches any act that reflects poorly on professional integrity
Standard I: Professionalism,I(D) Misconduct,Hard (Exam Level),Is getting arrested for civil disobedience (protest) a violation?,Generally No,Yes always,Yes if arrested,OptionA,Correct - It does not reflect on professional honesty or competence
Standard I: Professionalism,I(D) Misconduct,Hard (Exam Level),Cheating on an expense report is?,A violation of Misconduct,A minor HR issue,Acceptable if small,OptionA,Correct - Dishonesty in any business matter violates I(D)
Standard I: Professionalism,I(D) Misconduct,Hard (Exam Level),Drunk driving conviction?,May be a violation if it reflects on reputation,Never a violation,Always a violation,OptionA,Correct - Serious crimes reflect on professional reliability
Standard I: Professionalism,I(D) Misconduct,Hard (Exam Level),Lying to a client about a delay is?,Misconduct,Sales tactic,Acceptable if it saves the relationship,OptionA,Correct - Dishonesty is the core of Misconduct
Standard I: Professionalism,I(D) Misconduct,Hard (Exam Level),Abusing a colleague verbally in the office is?,Unprofessional and potentially Misconduct,Acceptable if they deserved it,Just office politics,OptionA,Correct - It damages the professional reputation
Standard I: Professionalism,I(D) Misconduct,Hard (Exam Level),Falsifying personal trading records is?,Misconduct,A personal matter,Allowed if no profit was made,OptionA,Correct - Falsification is fraud
Standard I: Professionalism,I(D) Misconduct,Hard (Exam Level),Stealing office supplies?,Technically Misconduct (Dishonesty),Allowed,Too small to matter,OptionA,Correct - Theft demonstrates a lack of integrity
Standard I: Professionalism,I(D) Misconduct,Hard (Exam Level),Intentionally ignoring a compliance procedure to save time is?,Misconduct,Efficiency,Acceptable,OptionA,Correct - Willful rule-breaking is an integrity issue
Standard I: Professionalism,I(D) Misconduct,Hard (Exam Level),Is personal bankruptcy a violation?,No unless due to fraud,Yes always,Only if you are an advisor,OptionA,Correct - Bankruptcy alone is not misconduct; fraudulent bankruptcy is
Standard I: Professionalism,I(D) Misconduct,Brutal (Above Exam),A member drinks too much at a client lunch and reveals confidential info. This is?,Misconduct and Confidentiality violation,Just a mistake,Acceptable networking,OptionA,Correct - The lack of self-control reflects on professional reputation
Standard I: Professionalism,I(D) Misconduct,Brutal (Above Exam),A member harasses a junior employee. This is?,Misconduct,HR issue only,Allowed if not physical,OptionA,Correct - Harassment damages professional integrity and reputation
Standard I: Professionalism,I(D) Misconduct,Brutal (Above Exam),Lying on a resume about a minor detail is?,Misconduct,Marketing,Acceptable,OptionA,Correct - Any dishonesty invalidates professional integrity
Standard I: Professionalism,I(D) Misconduct,Brutal (Above Exam),Using company assets for a personal side-business without permission is?,Theft/Misconduct,Entrepreneurship,Allowed,OptionA,Correct - Misappropriation of assets is dishonest
Standard I: Professionalism,I(D) Misconduct,Brutal (Above Exam),A member is convicted of tax evasion. This is?,Misconduct,Personal matter,Irrelevant to investing,OptionA,Correct - Tax evasion is fraud; it destroys trust
Standard I: Professionalism,I(D) Misconduct,Brutal (Above Exam),A member shouts at a regulator during an audit. This is?,Misconduct,Stress relief,Defense,OptionA,Correct - Interfering with or abusing regulators reflects poorly on the profession
Standard I: Professionalism,I(D) Misconduct,Brutal (Above Exam),Falsifying a time sheet for billable hours is?,Fraud/Misconduct,Rounding error,Standard practice,OptionA,Correct - Stealing client money through time fraud
Standard I: Professionalism,I(D) Misconduct,Brutal (Above Exam),Exploiting a loop-hole in a trading system to generate false profits is?,Misconduct,Smart trading,Arbitrage,OptionA,Correct - Exploiting an error knowingly is dishonest
Standard I: Professionalism,I(D) Misconduct,Brutal (Above Exam),Being found liable in a civil court for fraud is?,A violation of Misconduct,Not a criminal matter so okay,Irrelevant,OptionA,Correct - Civil fraud still proves dishonesty
Standard I: Professionalism,I(D) Misconduct,Brutal (Above Exam),Which action is LEAST likely to be Misconduct?,Civil Disobedience (Protest),Fraud,Theft,OptionA,Correct - Political protest usually doesn't involve professional dishonesty
